month,sc_gap,is_treated
2022-04,-0.035,False
2022-05,-0.0227,False
2022-06,-0.0574,False
2022-07,-0.0212,False
2022-08,-0.0638,False
2022-09,-0.0562,False
2022-10,0.0365,False
2022-11,-0.0407,False
2022-12,0.031,False
2023-01,-0.0409,False
2023-02,-0.0478,False
2023-03,-0.0096,False
2023-04,-0.0475,False
2023-05,-0.0525,False
2023-06,-0.0351,False
2023-07,-0.0663,False
2023-08,-0.0137,False
2023-09,-0.0126,False
2023-10,0.033,False
2023-11,-0.0258,False
2023-12,-0.0509,False
2024-01,0.0701,True
2024-02,-0.007,False
2024-03,-0.0068,False
2024-04,-0.0454,False
2024-05,0.0193,False
2024-06,-0.0134,False
2024-07,-0.0136,False
2024-08,-0.0193,False
2024-09,-0.0522,False
2024-10,0.0028,False
2024-11,0.0138,False
2024-12,0.0114,False
2025-01,-0.0374,False
2025-02,0.1,False
2025-03,0.0444,False
2025-04,0.0097,False
2025-05,0.0217,False
2025-06,0.0376,False
2025-07,0.0034,False
2025-08,0.0294,False
2025-09,0.0239,False
2025-10,0.1213,True
2025-11,0.0473,False
2025-12,-0.0404,False
2026-01,0.0354,False
2026-02,0.0602,False
2026-03,0.0283,False
